"folio_ageb","entidad","alcaldia","localidad","pob","tot_pobres","IDSM","E_IDS_V"
"0900903950539","09","009","0395",17,17,0.5773841,"Muy bajo"
"0900902080524","09","009","0208",88,88,0.5800725,"Muy bajo"
"0901201751829","09","012","0175",35,35,0.5810801,"Muy bajo"
"0900903700100","09","009","0370",18,18,0.5815338,"Muy bajo"
"0901202631246","09","012","0263",5,3,0.5816556,"Muy bajo"
"0900902150100","09","009","0215",11,11,0.5821179,"Muy bajo"
"0901204191231","09","012","0419",1,1,0.5829585,"Muy bajo"
"0901204141246","09","012","0414",3,3,0.5850821,"Muy bajo"
"0900903450100","09","009","0345",46,46,0.5866597,"Muy bajo"
"0901203811246","09","012","0381",126,125,0.5869251,"Muy bajo"
"0900900990100","09","009","0099",15,15,0.5870433,"Muy bajo"
"0901302830635","09","013","0283",46,44,0.5872537,"Muy bajo"
"0901204381246","09","012","0438",19,19,0.5874959,"Muy bajo"
"0901301781281","09","013","0178",175,172,0.5880115,"Muy bajo"
"0901101260471","09","011","0126",69,69,0.588947,"Muy bajo"
"0901101550471","09","011","0155",30,30,0.5907972,"Muy bajo"
"0901202961250","09","012","0296",69,67,0.5908302,"Muy bajo"
"0901201621250","09","012","0162",103,103,0.5910467,"Muy bajo"
"0901302920635","09","013","0292",21,21,0.5911273,"Muy bajo"
"0900903410539","09","009","0341",20,20,0.5920997,"Muy bajo"
"0901302670635","09","013","0267",225,221,0.5925686,"Muy bajo"
"0900801000368","09","008","0100",5,5,0.5940598,"Muy bajo"
"0900902360100","09","009","0236",10,10,0.5944359,"Muy bajo"
"0901204231250","09","012","0423",24,24,0.5947573,"Muy bajo"
"0901301650902","09","013","0165",18,18,0.5952117,"Muy bajo"
"0900900950100","09","009","0095",225,214,0.5964143,"Muy bajo"
"0900902910100","09","009","0291",21,21,0.5965063,"Muy bajo"
"0900901000100","09","009","0100",3,3,0.5970292,"Muy bajo"
"0901204361246","09","012","0436",141,140,0.5972552,"Muy bajo"
"0901204041231","09","012","0404",1,1,0.5979835,"Muy bajo"
"0901302910635","09","013","0291",74,74,0.5988746,"Muy bajo"
"0901201591246","09","012","0159",92,92,0.5994165,"Muy bajo"
"0901301390635","09","013","0139",91,85,0.6011339,"Muy bajo"
