"CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","Area"
"0901000010794","09","010","0001","0794","22190"
"0901000011985","09","010","0001","1985","91655"
"0901000011345","09","010","0001","1345","568807"
"0901000011557","09","010","0001","1557","271328"
"0901000011561","09","010","0001","1561","98430"
"0901000010417","09","010","0001","0417","133449"
"0901000010455","09","010","0001","0455","175560"
"090100001014A","09","010","0001","014A","167356"
"0901000010703","09","010","0001","0703","65088"
"0901000010864","09","010","0001","0864","227060"
"0901000010900","09","010","0001","0900","116017"
"0901000011025","09","010","0001","1025","1045233"
"0901000011773","09","010","0001","1773","321232"
"0901000011805","09","010","0001","1805","213981"
"0901000010099","09","010","0001","0099","194314"
"0901000011218","09","010","0001","1218","284612"
"0901000011858","09","010","0001","1858","1516641"
"0901000011699","09","010","0001","1699","1743109"
"0901000011913","09","010","0001","1913","129964"
"0901000010544","09","010","0001","0544","170910"
"0901000010648","09","010","0001","0648","64778"
"0901000010633","09","010","0001","0633","78841"
"0901000011627","09","010","0001","1627","321978"
"0901000010135","09","010","0001","0135","788570"
"0901000010686","09","010","0001","0686","231895"
"0901000010559","09","010","0001","0559","160062"
"0901000010667","09","010","0001","0667","351603"
"0901000010671","09","010","0001","0671","272168"
"0901000011260","09","010","0001","1260","1378991"
"0901000011237","09","010","0001","1237","450013"
"0901000011241","09","010","0001","1241","539533"
"0901000011580","09","010","0001","1580","377971"
"0901000011843","09","010","0001","1843","850512"
"0901000011171","09","010","0001","1171","1296608"
"0901000012254","09","010","0001","2254","253038"
"090100001224A","09","010","0001","224A","195772"
"0901000012288","09","010","0001","2288","787688"
"0901000010898","09","010","0001","0898","125246"
"0901000012339","09","010","0001","2339","729062"
"0901000010313","09","010","0001","0313","169642"
"0901000012023","09","010","0001","2023","140827"
"0901000012324","09","010","0001","2324","232064"
"090100001231A","09","010","0001","231A","143526"
"0901000012095","09","010","0001","2095","232338"
"0901000012220","09","010","0001","2220","169495"
"090100001199A","09","010","0001","199A","89831"
"0901000010474","09","010","0001","0474","201673"
"0901000012112","09","010","0001","2112","290380"
"0901000012235","09","010","0001","2235","120489"
"0901000011434","09","010","0001","1434","185411"
"0901000010169","09","010","0001","0169","94504"
"0901000012076","09","010","0001","2076","444707"
"0901000012061","09","010","0001","2061","2523322"
"0901000010309","09","010","0001","0309","235063"
"0901000011472","09","010","0001","1472","517849"
"0901000011379","09","010","0001","1379","1390573"
"0901000010811","09","010","0001","0811","165999"
"0901000011788","09","010","0001","1788","232335"
"0901000011839","09","010","0001","1839","274268"
"0901000012165","09","010","0001","2165","146736"
"0901000010489","09","010","0001","0489","121650"
"090100001174A","09","010","0001","174A","419007"
"0901000011754","09","010","0001","1754","504508"
"090100001135A","09","010","0001","135A","669981"
"0901000011720","09","010","0001","1720","1427940"
"0901000011468","09","010","0001","1468","73645"
"0901000011932","09","010","0001","1932","89102"
"0901000011487","09","010","0001","1487","145443"
"0901000011735","09","010","0001","1735","750050"
"0901200010604","09","012","0001","0604","282260"
"0901200011072","09","012","0001","1072","841205"
"0901200011424","09","012","0001","1424","249223"
"0901200010498","09","012","0001","0498","322699"
"0901200010125","09","012","0001","0125","147432"
"0901200010445","09","012","0001","0445","365518"
"0901200010074","09","012","0001","0074","524184"
"0901200010159","09","012","0001","0159","139014"
"090120001045A","09","012","0001","045A","374585"
"0901200010411","09","012","0001","0411","254431"
"0901200010017","09","012","0001","0017","220907"
"0901200010214","09","012","0001","0214","413702"
"090120001077A","09","012","0001","077A","296269"
"0901200010267","09","012","0001","0267","184495"
"0901200010303","09","012","0001","0303","302362"
"0901200012066","09","012","0001","2066","337263"
"090120001198A","09","012","0001","198A","68284"
"0901200012174","09","012","0001","2174","94579"
"0901200011994","09","012","0001","1994","161646"
"0901200010500","09","012","0001","0500","413363"
"0901200011000","09","012","0001","1000","307277"
"090120001216A","09","012","0001","216A","182490"
"0901200011509","09","012","0001","1509","271465"
"090120001020A","09","012","0001","020A","196017"
"0901200010021","09","012","0001","0021","185897"
"0901200010106","09","012","0001","0106","291686"
"090120001013A","09","012","0001","013A","142449"
"0901200010182","09","012","0001","0182","456490"
"0901200010197","09","012","0001","0197","288200"
"0901200010040","09","012","0001","0040","222711"
"0901200271763","09","012","0027","1763","1436682"
"0901200012070","09","012","0001","2070","1348421"
"0901200011068","09","012","0001","1068","219114"
"0901200012121","09","012","0001","2121","1602200"
"090120027180A","09","012","0027","180A","816100"
"0901200011975","09","012","0001","1975","438833"
"0901200011388","09","012","0001","1388","397526"
"0901200011956","09","012","0001","1956","710080"
"0901200010430","09","012","0001","0430","394269"
"0901200011918","09","012","0001","1918","317515"
"0901200012206","09","012","0001","2206","248334"
"0901200012155","09","012","0001","2155","4310483"
"0901200010479","09","012","0001","0479","197312"
"0901200262314","09","012","0026","2314","46098"
"0901200011937","09","012","0001","1937","83681"
"0901200012193","09","012","0001","2193","265497"
"090120001038A","09","012","0001","038A","478754"
"0901200010483","09","012","0001","0483","354093"
"0901200010712","09","012","0001","0712","88843"
"0901200010943","09","012","0001","0943","334545"
"0901200010962","09","012","0001","0962","283222"
"0901200010568","09","012","0001","0568","376061"
"0901200010642","09","012","0001","0642","246763"
"0901200010407","09","012","0001","0407","225851"
"0901200010426","09","012","0001","0426","536097"
"0901200010572","09","012","0001","0572","150273"
"0901200010549","09","012","0001","0549","353316"
"0901200010731","09","012","0001","0731","180319"
"0901200010765","09","012","0001","0765","103991"
"0901200010816","09","012","0001","0816","163763"
"0901200010820","09","012","0001","0820","295310"
"0901200010835","09","012","0001","0835","208990"
"090120001084A","09","012","0001","084A","261816"
"0901200010854","09","012","0001","0854","229024"
"0901200010869","09","012","0001","0869","379661"
"0901200010888","09","012","0001","0888","363285"
"090120001091A","09","012","0001","091A","184214"
"0901200010375","09","012","0001","0375","240637"
"090120026248A","09","012","0026","248A","141674"
"0901200010623","09","012","0001","0623","257388"
"0901200010638","09","012","0001","0638","253652"
"0901200010657","09","012","0001","0657","346047"
"0901200010661","09","012","0001","0661","243224"
"0901200010676","09","012","0001","0676","251039"
"0901200010680","09","012","0001","0680","168333"
"0901200010695","09","012","0001","0695","122139"
"0901200010727","09","012","0001","0727","81994"
"0901200010939","09","012","0001","0939","349995"
"0901200010977","09","012","0001","0977","419104"
"0901200011015","09","012","0001","1015","227285"
"0901200010996","09","012","0001","0996","144211"
"090120001102A","09","012","0001","102A","333839"
"0901200011034","09","012","0001","1034","213195"
"0901200011157","09","012","0001","1157","497992"
"0901200011087","09","012","0001","1087","27977"
"0901200011091","09","012","0001","1091","34110"
"0901200011104","09","012","0001","1104","178481"
"0901200011119","09","012","0001","1119","243583"
"0901200011566","09","012","0001","1566","782884"
"0901200010089","09","012","0001","0089","105869"
"0901200011176","09","012","0001","1176","335834"
"0901200011513","09","012","0001","1513","314469"
"0901200012013","09","012","0001","2013","935552"
"0901200012047","09","012","0001","2047","276344"
"0901200011049","09","012","0001","1049","736522"
"0901200012051","09","012","0001","2051","210950"
"0901200011481","09","012","0001","1481","360234"
"0901200262403","09","012","0026","2403","619252"
"0901200010905","09","012","0001","0905","228147"
"0901200012136","09","012","0001","2136","296227"
"0901200012140","09","012","0001","2140","432638"
"0901200012333","09","012","0001","2333","34134"
"0901200261710","09","012","0026","1710","605327"
"0901200262329","09","012","0026","2329","636898"
"0901200011960","09","012","0001","1960","3551328"
"0901200011462","09","012","0001","1462","811566"
"0901200012263","09","012","0001","2263","336576"
"0901200011759","09","012","0001","1759","967094"
"0901200011477","09","012","0001","1477","274818"
"090120001223A","09","012","0001","223A","287384"
"0901200012244","09","012","0001","2244","206261"
"090120001052A","09","012","0001","052A","263295"
"0901200192475","09","012","0019","2475","883393"
"0901200011890","09","012","0001","1890","245622"
"0901200010534","09","012","0001","0534","189076"
"0901200012225","09","012","0001","2225","258820"
"0901200012367","09","012","0001","2367","49892"
"0901200011299","09","012","0001","1299","379334"
"0901200011903","09","012","0001","1903","228561"
"0901200011316","09","012","0001","1316","330277"
"0901200011195","09","012","0001","1195","595116"
"0901200011369","09","012","0001","1369","307014"
"0901200011439","09","012","0001","1439","273630"
"0901200011443","09","012","0001","1443","298672"
"0901200011585","09","012","0001","1585","1343779"
"0901200012009","09","012","0001","2009","890803"
"0901200010784","09","012","0001","0784","266195"
"0901200012210","09","012","0001","2210","314396"
"0901200010464","09","012","0001","0464","184076"
"0901200010515","09","012","0001","0515","275390"
"0901200010708","09","012","0001","0708","304682"
"0901200010163","09","012","0001","0163","170444"
"0901200010746","09","012","0001","0746","118431"
"0901200010750","09","012","0001","0750","47408"
"0901200010801","09","012","0001","0801","240931"
"0901200010229","09","012","0001","0229","253164"
"0901200010248","09","012","0001","0248","76076"
"0901200010337","09","012","0001","0337","253433"
"0901200010341","09","012","0001","0341","377810"
"0901200010360","09","012","0001","0360","326792"
"0901200010233","09","012","0001","0233","436550"
"0901200261689","09","012","0026","1689","681720"
"0901200010619","09","012","0001","0619","253254"
"0901200010799","09","012","0001","0799","242735"
"0901200010553","09","012","0001","0553","321411"
"0901200010587","09","012","0001","0587","107586"
"0901200010591","09","012","0001","0591","132032"
"0901200010924","09","012","0001","0924","497240"
"0901200010958","09","012","0001","0958","386848"
"0901200011123","09","012","0001","1123","364739"
"0901200011142","09","012","0001","1142","201659"
"0901200011161","09","012","0001","1161","400816"
"0901200010318","09","012","0001","0318","265411"
"0901200010322","09","012","0001","0322","249964"
"0901200010093","09","012","0001","0093","162906"
"0901200010144","09","012","0001","0144","173085"
"0901200010178","09","012","0001","0178","157774"
"0901200011570","09","012","0001","1570","967201"
"0901200011053","09","012","0001","1053","157158"
"0901200012085","09","012","0001","2085","203179"
"0901200012259","09","012","0001","2259","117812"
"0901200272028","09","012","0027","2028","419875"
"0901200272032","09","012","0027","2032","513808"
"090120027230A","09","012","0027","230A","359588"
"0901200011458","09","012","0001","1458","248520"
"0901200012102","09","012","0001","2102","271907"
"0901200011941","09","012","0001","1941","74244"
"0901200011922","09","012","0001","1922","83463"
"0901200012189","09","012","0001","2189","348043"
"0901200012371","09","012","0001","2371","195719"
"0901200011744","09","012","0001","1744","2273373"
"0901200192460","09","012","0019","2460","655662"
"0901200261528","09","012","0026","1528","1265453"
"0901200010394","09","012","0001","0394","240177"
"0901200262390","09","012","0026","2390","15873"
"0901200272422","09","012","0027","2422","602122"
"0901200012386","09","012","0001","2386","67722"
"090120001159A","09","012","0001","159A","1181948"
"0901200010981","09","012","0001","0981","506050"
"0901200012456","09","012","0001","2456","476741"
"0901200010892","09","012","0001","0892","388514"
"0901200011496","09","012","0001","1496","397704"
"0901200262437","09","012","0026","2437","104810"
"0901200262297","09","012","0026","2297","2323298"
"0901200261674","09","012","0026","1674","967622"
"090120026166A","09","012","0026","166A","406918"
"0901200011602","09","012","0001","1602","1331498"
"0901200271797","09","012","0027","1797","1153901"
"0901200261706","09","012","0026","1706","886591"
"0901200261693","09","012","0026","1693","313348"
"0901200012348","09","012","0001","2348","98567"
"0901200011617","09","012","0001","1617","1366647"
"0901200261532","09","012","0026","1532","747201"
"0901200011621","09","012","0001","1621","1453690"
"0901200011636","09","012","0001","1636","501791"
"0901200011640","09","012","0001","1640","987135"
"0901200011212","09","012","0001","1212","456430"
"0901200011655","09","012","0001","1655","319660"
"0901200012352","09","012","0001","2352","584145"
"0901200012441","09","012","0001","2441","2059969"
"090120001173A","09","012","0001","173A","163455"
"0901200271778","09","012","0027","1778","850465"
"0901200271782","09","012","0027","1782","985032"
"0901200011547","09","012","0001","1547","1641174"
"0901200012282","09","012","0001","2282","293346"
"0901200262418","09","012","0026","2418","995092"
"0901200012278","09","012","0001","2278","127901"
"0901400010543","09","014","0001","0543","220640"
"0901400010967","09","014","0001","0967","246108"
"0901400010045","09","014","0001","0045","235859"
"0901400010168","09","014","0001","0168","122912"
"0901400010971","09","014","0001","0971","284834"
"0901400010878","09","014","0001","0878","246807"
"090140001051A","09","014","0001","051A","158973"
"0901400010524","09","014","0001","0524","167437"
"0901400010346","09","014","0001","0346","298817"
"0901400010670","09","014","0001","0670","285591"
"0901400010914","09","014","0001","0914","274019"
"0901400010115","09","014","0001","0115","278695"
"0901400011024","09","014","0001","1024","317019"
"0901400010153","09","014","0001","0153","131491"
"0901400010219","09","014","0001","0219","278813"
"0901400010882","09","014","0001","0882","234210"
"0901400010187","09","014","0001","0187","367736"
"0901400010929","09","014","0001","0929","246207"
"0901400010933","09","014","0001","0933","199995"
"0901400010986","09","014","0001","0986","359198"
"090140001101A","09","014","0001","101A","279194"
"0901400010990","09","014","0001","0990","336440"
"0901400010312","09","014","0001","0312","135392"
"0901400010327","09","014","0001","0327","144688"
"0901400010331","09","014","0001","0331","161091"
"0901400010685","09","014","0001","0685","260698"
"0901400010717","09","014","0001","0717","301062"
"0901400010149","09","014","0001","0149","173362"
"0901400010172","09","014","0001","0172","124848"
"0901400010204","09","014","0001","0204","243693"
"0901400010011","09","014","0001","0011","232695"
"0901400010026","09","014","0001","0026","245521"
"0901400010030","09","014","0001","0030","308082"
"090140001005A","09","014","0001","005A","328155"
"0901400010492","09","014","0001","0492","157183"
"0901400010825","09","014","0001","0825","235952"
"0901400010435","09","014","0001","0435","270059"
"0901400010581","09","014","0001","0581","151576"
"0901400010562","09","014","0001","0562","272312"
"0901400010454","09","014","0001","0454","116626"
"0901400010863","09","014","0001","0863","327411"
"0901400010558","09","014","0001","0558","236417"
"0901400010083","09","014","0001","0083","257032"
"0901400010098","09","014","0001","0098","275288"
"0901400010100","09","014","0001","0100","148060"
"0901400010793","09","014","0001","0793","412819"
"0901400010365","09","014","0001","0365","146471"
"090140001083A","09","014","0001","083A","203141"
"0901400010628","09","014","0001","0628","401858"
"0901400010469","09","014","0001","0469","281131"
"0901400010473","09","014","0001","0473","146390"
"0901400010420","09","014","0001","0420","377220"
"0901400010191","09","014","0001","0191","222082"
"0901400010596","09","014","0001","0596","216919"
"0901400010609","09","014","0001","0609","294139"
"0901400010613","09","014","0001","0613","385810"
"0901400010632","09","014","0001","0632","375966"
"0901400010948","09","014","0001","0948","115600"
"0901400010647","09","014","0001","0647","226520"
"0901400010844","09","014","0001","0844","453068"
"0901400010859","09","014","0001","0859","310638"
"0901400010350","09","014","0001","0350","231718"
"0901400010384","09","014","0001","0384","271070"
"0901400010399","09","014","0001","0399","293701"
"090140001069A","09","014","0001","069A","254995"
"0901400010702","09","014","0001","0702","271178"
"0901400010257","09","014","0001","0257","459182"
"0901400010261","09","014","0001","0261","396673"
"0901400010276","09","014","0001","0276","271735"
"0901400010755","09","014","0001","0755","281083"
"090140001037A","09","014","0001","037A","158955"
"0901400010488","09","014","0001","0488","229624"
"0901400010242","09","014","0001","0242","262441"
"0901400010064","09","014","0001","0064","256944"
"090140001012A","09","014","0001","012A","236585"
"090140001044A","09","014","0001","044A","269652"
"0901400010079","09","014","0001","0079","357865"
"0901400010577","09","014","0001","0577","484491"
"0901400010789","09","014","0001","0789","154733"
"0901400010897","09","014","0001","0897","183008"
"090140001090A","09","014","0001","090A","226685"
"0901400010134","09","014","0001","0134","250725"
"0901400010952","09","014","0001","0952","288483"
"0901400011005","09","014","0001","1005","375420"
"0901400010740","09","014","0001","0740","275834"
"0901400010401","09","014","0001","0401","353010"
"0901400010416","09","014","0001","0416","266074"
"0901400010280","09","014","0001","0280","201064"
"0901400010295","09","014","0001","0295","96251"
"0901400010308","09","014","0001","0308","209052"
"0901400010721","09","014","0001","0721","211501"
"0901400010736","09","014","0001","0736","294581"
"090140001076A","09","014","0001","076A","290886"
"0901400010774","09","014","0001","0774","458977"
"0901400010806","09","014","0001","0806","303623"
"0901400010810","09","014","0001","0810","439385"
"0901400010238","09","014","0001","0238","371397"
"0901400010223","09","014","0001","0223","219597"
"0901400010539","09","014","0001","0539","154032"
"0901400010666","09","014","0001","0666","153089"
"0901400010651","09","014","0001","0651","355637"
"0901400010505","09","014","0001","0505","180016"
"0900600010185","09","006","0001","0185","653816"
"0900600010147","09","006","0001","0147","315489"
"0900600010950","09","006","0001","0950","184660"
"090060001001A","09","006","0001","001A","377802"
"0900600010024","09","006","0001","0024","263334"
"0900600010927","09","006","0001","0927","102295"
"0900600010999","09","006","0001","0999","47700"
"0900600010058","09","006","0001","0058","243735"
"0900600010109","09","006","0001","0109","303911"
"0900600010128","09","006","0001","0128","316572"
"0900600010132","09","006","0001","0132","972351"
"0900600010151","09","006","0001","0151","1621671"
"0900600010166","09","006","0001","0166","126865"
"0900600010039","09","006","0001","0039","282746"
"0900600010217","09","006","0001","0217","297246"
"0900600010221","09","006","0001","0221","318839"
"0900600010236","09","006","0001","0236","249512"
"0900600010965","09","006","0001","0965","146873"
"0900600010240","09","006","0001","0240","139271"
"0900600010255","09","006","0001","0255","322844"
"0900600010274","09","006","0001","0274","280593"
"0900600010378","09","006","0001","0378","195579"
"0900600010490","09","006","0001","0490","174329"
"0900600010503","09","006","0001","0503","206228"
"0900600010518","09","006","0001","0518","224205"
"0900600010537","09","006","0001","0537","150119"
"0900600010541","09","006","0001","0541","174521"
"0900600010749","09","006","0001","0749","185754"
"0900600010804","09","006","0001","0804","165844"
"0900600010876","09","006","0001","0876","166658"
"0900600010931","09","006","0001","0931","107331"
"0900600010946","09","006","0001","0946","157944"
"090060001097A","09","006","0001","097A","141524"
"0900600010984","09","006","0001","0984","137395"
"0900600011003","09","006","0001","1003","190256"
"0900600011018","09","006","0001","1018","130118"
"0900600011022","09","006","0001","1022","88863"
"0900600011037","09","006","0001","1037","117149"
"0900600011056","09","006","0001","1056","143665"
"0900600011060","09","006","0001","1060","116764"
"0900600011075","09","006","0001","1075","123858"
"090060001108A","09","006","0001","108A","139867"
"090060001115A","09","006","0001","115A","45637"
"0900600011198","09","006","0001","1198","198688"
"0900600010626","09","006","0001","0626","70468"
"0900600010414","09","006","0001","0414","185072"
"0900600010683","09","006","0001","0683","114323"
"0900600010043","09","006","0001","0043","213327"
"0900600010077","09","006","0001","0077","245091"
"0900600010081","09","006","0001","0081","264023"
"0900600010096","09","006","0001","0096","274930"
"0900600010344","09","006","0001","0344","208032"
"0900600010359","09","006","0001","0359","312270"
"0900600010363","09","006","0001","0363","243534"
"0900600010452","09","006","0001","0452","132146"
"0900600010467","09","006","0001","0467","115701"
"0900600010471","09","006","0001","0471","108294"
"0900600010522","09","006","0001","0522","151866"
"090060001058A","09","006","0001","058A","182078"
"0900600010607","09","006","0001","0607","249988"
"0900600010611","09","006","0001","0611","225401"
"0900600010630","09","006","0001","0630","82219"
"0900600010664","09","006","0001","0664","166228"
"0900600010698","09","006","0001","0698","88337"
"0900600010700","09","006","0001","0700","106219"
"0900600010715","09","006","0001","0715","87858"
"090060001072A","09","006","0001","072A","79633"
"0900600010787","09","006","0001","0787","239479"
"0900600010791","09","006","0001","0791","83592"
"0900600010823","09","006","0001","0823","158268"
"0900600010838","09","006","0001","0838","130814"
"0900600010842","09","006","0001","0842","105173"
"0900600010880","09","006","0001","0880","221396"
"0900600010895","09","006","0001","0895","212565"
"0900600010908","09","006","0001","0908","70050"
"0900600011111","09","006","0001","1111","113603"
"0900600011126","09","006","0001","1126","190693"
"0900600011130","09","006","0001","1130","148955"
"0900600011179","09","006","0001","1179","251312"
"0900600011183","09","006","0001","1183","70898"
"0900600011200","09","006","0001","1200","204093"
"0900600010170","09","006","0001","0170","150317"
"0900600010556","09","006","0001","0556","197794"
"0900600010645","09","006","0001","0645","59864"
"090060001065A","09","006","0001","065A","114036"
"0900600010289","09","006","0001","0289","61900"
"0900600010202","09","006","0001","0202","298868"
"090060001026A","09","006","0001","026A","263629"
"0900600010679","09","006","0001","0679","101017"
"0900600010310","09","006","0001","0310","467018"
"0900600010325","09","006","0001","0325","339334"
"0900600010382","09","006","0001","0382","187491"
"0900600010397","09","006","0001","0397","355284"
"0900600010575","09","006","0001","0575","344682"
"0900600010594","09","006","0001","0594","110775"
"0900600010753","09","006","0001","0753","143244"
"0900600010768","09","006","0001","0768","107817"
"0900600010772","09","006","0001","0772","134179"
"0900600011164","09","006","0001","1164","101018"
"0900600011041","09","006","0001","1041","124176"
"0900600011094","09","006","0001","1094","305503"
"0900600011107","09","006","0001","1107","360226"
"0900600010293","09","006","0001","0293","526653"
"0900600010429","09","006","0001","0429","97828"
"0900600010448","09","006","0001","0448","88465"
"0900600010433","09","006","0001","0433","105852"
"0900600010486","09","006","0001","0486","113111"
"0900600010734","09","006","0001","0734","116675"
"090060001019A","09","006","0001","019A","196768"
"090060001033A","09","006","0001","033A","230911"
"0900200010148","09","002","0001","0148","565906"
"0900200010190","09","002","0001","0190","441619"
"0900200010932","09","002","0001","0932","662610"
"0900200010237","09","002","0001","0237","560019"
"0900200010595","09","002","0001","0595","210668"
"0900200010608","09","002","0001","0608","176205"
"0900200010612","09","002","0001","0612","166615"
"0900200010627","09","002","0001","0627","194434"
"0900200011038","09","002","0001","1038","335695"
